"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","accepts a sort and compare function","areArraysSimilar","Sat Apr 25 06:47:24 UTC 2026","passed","Sat Apr 25 06:47:24 UTC 2026","","","",""
"","450","renders correctly with requiresCurrentPassword false","PasswordDialog","Sat Apr 25 06:43:27 UTC 2026","passed","Sat Apr 25 06:43:28 UTC 2026","","","",""
"Test cases for TestResources_CreateSavedQuery_InvalidBody","0","TestResources_CreateSavedQuery_InvalidBody","","Sat Apr 25 06:41:55 UTC 2026","passed","Sat Apr 25 06:41:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery_InvalidBody","TestResources_CreateSavedQuery_InvalidBody"
"","208","should render a nav element with logo, two lists, a version number and a powered by","MainNav","Sat Apr 25 06:44:59 UTC 2026","passed","Sat Apr 25 06:44:59 UTC 2026","","","",""
"Test cases for TestUnmarshalNonIntegerNumberToInt64","0","TestUnmarshalNonIntegerNumberToInt64","","Sat Apr 25 06:41:56 UTC 2026","passed","Sat Apr 25 06:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalNonIntegerNumberToInt64","TestUnmarshalNonIntegerNumberToInt64"
"Test cases for TestResources_DeleteAssetGroupSelector","0","TestResources_DeleteAssetGroupSelector","","Sat Apr 25 06:41:55 UTC 2026","passed","Sat Apr 25 06:41:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteAssetGroupSelector","TestResources_DeleteAssetGroupSelector"
"","280","navigates to all rules when clicking ""All Rules""","RulesAccordion","Sat Apr 25 06:45:48 UTC 2026","passed","Sat Apr 25 06:45:48 UTC 2026","","","",""
"Test cases for TestWriteBinaryResponse","0","TestWriteBinaryResponse","","Sat Apr 25 06:41:46 UTC 2026","passed","Sat Apr 25 06:41:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteBinaryResponse","TestWriteBinaryResponse"
"Test cases for Test_filterAndFormatSearchResults_default","0","Test_filterAndFormatSearchResults_default","","Sat Apr 25 06:41:55 UTC 2026","passed","Sat Apr 25 06:41:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_filterAndFormatSearchResults_default","Test_filterAndFormatSearchResults_default"
"","950","renders asset group edit options with graph write permissions","ContextMenu","Sat Apr 25 06:44:22 UTC 2026","passed","Sat Apr 25 06:44:23 UTC 2026","","","",""
"","851","opens a submenu when user hovers over `Copy`","ContextMenu","Sat Apr 25 06:44:24 UTC 2026","passed","Sat Apr 25 06:44:25 UTC 2026","","","",""
"","59","has no checked boxes by default","GraphDataCheckboxes","Sat Apr 25 06:43:50 UTC 2026","passed","Sat Apr 25 06:43:50 UTC 2026","","","",""
"Test cases for TestParseVersion","0","TestParseVersion","","Sat Apr 25 06:42:03 UTC 2026","passed","Sat Apr 25 06:42:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/version/TestParseVersion","TestParseVersion"
"","1","reports an API error when the name for the rule is not unique","handleError","Sat Apr 25 06:44:09 UTC 2026","passed","Sat Apr 25 06:44:09 UTC 2026","","","",""
"","5745","filter selections are rolled back if user closes modal with the cancel button","EdgeFilter","Sat Apr 25 06:45:32 UTC 2026","passed","Sat Apr 25 06:45:38 UTC 2026","","","",""
"Test cases for TestStringEqual","0","TestStringEqual","","Sat Apr 25 06:41:56 UTC 2026","passed","Sat Apr 25 06:41:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringEqual","TestStringEqual"
"","143","removes a node from an asset group tag","AssetGroupMenuItem","Sat Apr 25 06:44:38 UTC 2026","passed","Sat Apr 25 06:44:38 UTC 2026","","","",""
"Test cases for TestParseSkipQueryParameter_Invalid","0","TestParseSkipQueryParameter_Invalid","","Sat Apr 25 06:41:55 UTC 2026","passed","Sat Apr 25 06:41:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseSkipQueryParameter_Invalid","TestParseSkipQueryParameter_Invalid"
"","398","calls handleFilterChange when a node type is selected","AssetGroupEdit","Sat Apr 25 06:44:41 UTC 2026","passed","Sat Apr 25 06:44:42 UTC 2026","","Node Type dropdown filter","",""
"","342","renders no asset group edit options without graph write permissions","ContextMenu","Sat Apr 25 06:48:26 UTC 2026","passed","Sat Apr 25 06:48:26 UTC 2026","","","",""
"Test cases for TestGenericAssign","0","TestGenericAssign","","Sat Apr 25 06:42:02 UTC 2026","passed","Sat Apr 25 06:42:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGenericAssign","TestGenericAssign"
