"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","317","renders total rules and accordion sections","RulesAccordion","Sat Jan 17 00:45:34 UTC 2026","passed","Sat Jan 17 00:45:35 UTC 2026","","","",""
"Test cases for TestResources_GetCollectorManifest","0","TestResources_GetCollectorManifest","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetCollectorManifest","TestResources_GetCollectorManifest"
"","360","renders the popup content with run, edit/share, and delete when the menu trigger","ListItemActionMenu","Sat Jan 17 00:45:36 UTC 2026","passed","Sat Jan 17 00:45:37 UTC 2026","","","",""
"","127","does not trigger search for fewer than 3 characters","SearchBar","Sat Jan 17 00:46:53 UTC 2026","passed","Sat Jan 17 00:46:53 UTC 2026","","","",""
"Test cases for TestNewAuditLog","2","TestNewAuditLog","","Sat Jan 17 00:41:57 UTC 2026","passed","Sat Jan 17 00:41:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestNewAuditLog","TestNewAuditLog"
"Test cases for TestLoginResource_Logout","10","TestLoginResource_Logout","","Sat Jan 17 00:42:29 UTC 2026","passed","Sat Jan 17 00:42:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginResource_Logout","TestLoginResource_Logout"
"","2","returns undefined if graphData is undefined","normalizeGraphDataForSigma","Sat Jan 17 00:48:09 UTC 2026","passed","Sat Jan 17 00:48:09 UTC 2026","","","",""
"","50","stores the state of a search term without modifying the query params","useCypherSearch","Sat Jan 17 00:46:38 UTC 2026","passed","Sat Jan 17 00:46:38 UTC 2026","","","",""
"Test cases for TestResources_DownloadCollectorByVersion","1","TestResources_DownloadCollectorByVersion","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DownloadCollectorByVersion","TestResources_DownloadCollectorByVersion"
"Test cases for Test_GetAssetGroupMembersByTag","8","Test_GetAssetGroupMembersByTag","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_GetAssetGroupMembersByTag","Test_GetAssetGroupMembersByTag"
"","508","accepts a valid file and allows the user to continue through the upload process","File Upload","Sat Jan 17 00:44:32 UTC 2026","passed","Sat Jan 17 00:44:32 UTC 2026","","","",""
"","225","sums nested section node counts","EntityInfoDataTable","Sat Jan 17 00:43:58 UTC 2026","passed","Sat Jan 17 00:43:58 UTC 2026","","Node count for nested table that counts all sections","",""
"","11","renders highlight only for active member when memberId is present","SelectedHighlight","Sat Jan 17 00:46:10 UTC 2026","passed","Sat Jan 17 00:46:10 UTC 2026","","","",""
"Test cases for TestResources_ListADDomainContainedGroups","0","TestResources_ListADDomainContainedGroups","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainContainedGroups","TestResources_ListADDomainContainedGroups"
"Test cases for TestConvertContainerToNode_InheritanceHashes","0","TestConvertContainerToNode_InheritanceHashes","","Sat Jan 17 00:42:10 UTC 2026","passed","Sat Jan 17 00:42:10 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertContainerToNode_InheritanceHashes","TestConvertContainerToNode_InheritanceHashes"
"Test cases for TestAggregator_Impact","1","TestAggregator_Impact","","Sat Jan 17 00:42:09 UTC 2026","passed","Sat Jan 17 00:42:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/impact/TestAggregator_Impact","TestAggregator_Impact"
"Test cases for Test_filterNodesToSearchResult_filterEnvironments","0","Test_filterNodesToSearchResult_filterEnvironments","","Sat Jan 17 00:42:00 UTC 2026","passed","Sat Jan 17 00:42:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_filterNodesToSearchResult_filterEnvironments","Test_filterNodesToSearchResult_filterEnvironments"
"","91","upon selecting just a source node, updates the URL with a searchType of 'node' and primarySearch of the node's objectid","usePathfindingSearch","Sat Jan 17 00:44:41 UTC 2026","passed","Sat Jan 17 00:44:41 UTC 2026","","","",""
"Test cases for TestInt64SetValid","0","TestInt64SetValid","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64SetValid","TestInt64SetValid"
"","493","should render list of available SSO providers","LoginViaSSOForm","Sat Jan 17 00:45:29 UTC 2026","passed","Sat Jan 17 00:45:30 UTC 2026","","","",""
"Test cases for FuzzFoldlLazy","1","FuzzFoldlLazy","","Sat Jan 17 00:42:11 UTC 2026","passed","Sat Jan 17 00:42:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/FuzzFoldlLazy","FuzzFoldlLazy"
"","825","renders the form for editing an existing rule","Rule Form","Sat Jan 17 00:43:04 UTC 2026","passed","Sat Jan 17 00:43:05 UTC 2026","","","",""
"Test cases for TestGenericMap","0","TestGenericMap","","Sat Jan 17 00:42:06 UTC 2026","passed","Sat Jan 17 00:42:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGenericMap","TestGenericMap"
"","0","An unknown error occurred when fetching the data","Getting the text for the disabled item display for a search when there are no results","Sat Jan 17 00:45:06 UTC 2026","passed","Sat Jan 17 00:45:06 UTC 2026","","Error states","",""
"","332","shows a loading state","AssetGroupMenuItem","Sat Jan 17 00:43:49 UTC 2026","passed","Sat Jan 17 00:43:49 UTC 2026","","","",""
"","0","returns null if paramValue is undefined","useEnvironmentParams","Sat Jan 17 00:47:02 UTC 2026","passed","Sat Jan 17 00:47:02 UTC 2026","","parseEnvironmentAggregation","",""
"Test cases for TestResources_UpdateAssetGroupSelectors_SuccessOwned","0","TestResources_UpdateAssetGroupSelectors_SuccessOwned","","Sat Jan 17 00:41:52 UTC 2026","passed","Sat Jan 17 00:41:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupSelectors_SuccessOwned","TestResources_UpdateAssetGroupSelectors_SuccessOwned"
"","294","sets a secondary=id and searchType=pathfinding when primary is truethy","ContextMenu","Sat Jan 17 00:43:35 UTC 2026","passed","Sat Jan 17 00:43:35 UTC 2026","","","",""
"Test cases for TestInt64ValueOrZero","0","TestInt64ValueOrZero","","Sat Jan 17 00:41:58 UTC 2026","passed","Sat Jan 17 00:41:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64ValueOrZero","TestInt64ValueOrZero"
"","1","pwdlastset","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Sat Jan 17 00:44:01 UTC 2026","passed","Sat Jan 17 00:44:01 UTC 2026","","","",""
